hadíˀnhahgyaˀs	‘loggers’	[hadí-ˀnhahg-yaˀk-s]	they(males).a-log-cut-habitual
honé:ˀǫ:	'they (males) have willed, decided it'	[hon-é:ˀ-ǫ:]	they(males).o-will-stative
hodí:yęˀ	‘they (m) have’; ‘they have lain’	[hodí:-yę-ˀ]	they(males).o-lie-stative
gáęnaˀ	‘song’	[gá-ęn-aˀ]	it.a-song-nsf
shǫgwaęnáwi̲hshǫˀ	‘he has given us songs’	[shǫgwa-ęn-áwi̲h-shǫˀ]	he:us-song-give-pluralizer.stative
shehó:wih	‘tell her’	[she-hró:wi-h]	you:her-tell-pronunciation.h
ęga:thró:wiˀ	‘I will tell’	[ę-g-a:t-hró:wi-ˀ]	future-I.a-semireflexive-tell-punctual
ęgákhyadǫ:ˀ	‘I will have a reading’	[ę-g-ák-hyadǫ-:ˀ]	future-I.a-semireflexive-write-punctual
ęgáthyadǫ:ˀ	‘I will have a reading’	[ę-g-át-hyadǫ-:ˀ]	future-I.a-semireflexive-write-punctual
gyodóˀkda̲ˀǫh	‘it is lacking’	[g-yo-d-óˀkd-a̲-ˀǫh]	cislocative-it.o-semireflexive-end-joinerA-stative
dawádo̲ˀkdęˀ	‘it lacked’; ‘it was not enough’	[d-a-w-ád-o̲ˀkd-ęˀ]	cislocative-factual-it.a-semireflexive-end-punctual
ga̲ˀdrehdagwé:gǫh	‘all the cars’	[ga̲-ˀdrehd-a-gwé:gǫh]	it.a-car-joinerA-all
oˀdréhdatgiˀ	‘ugly car’	[o-ˀdréhd-a-tgiˀ]	it.o-car-joinerA-dirty/ugly
onę́hętgiˀ	‘dirty corn’	[o-nę́hę-tgiˀ]	it.o-corn-dirty/ugly
ga̲ˀdréhde:s	‘it is a long car’	[ga̲-ˀdréhd-e:s]	it.a-car-long
ga̲ˀdrehdí:yo:	‘it is a nice car’	[ga̲-ˀdrehd-í:yo:]	it.a-car-nice
nigaˀdre̲hdú:ˀuh	‘it is a small car’	[ni-ga-ˀdre̲hd-ú:ˀuh]	partitive-it.a-car-small
akyę́da̲hkwaˀ	'chair'	[akyę́d-a-hkwaˀ]	sit-joinerA-instrumental
ehyádǫ̲hkwaˀ	'writing implement (pen, pencil, etc.)'	[e-hyádǫ̲-hkwaˀ]	someone-write-instrumental
ga̲ˀdréhdaęˀ	‘one parked car’	[ga̲-ˀdréhd-a-ęˀ]	it.a-car-joinerA-lie
gá:yęˀ	‘it is lying on the ground’	[gá:-yęˀ]	it.a-lie.stative
węˀníhsga:ˀ	‘a wheel’	[w-ęˀníhsga:-ˀ]	it.a-wheel-noun.stem.former
wę̲ˀníhsgaǫt	‘it has one wheel’	[w-ę̲ˀníhsga-ǫt]	it.a-wheel-attached
ó:ga:ˀ	‘a price’	[ó:-ga:-ˀ]	it.o-price-noun.stem.former
ogáot	‘a debt’	[o-gá-ot]	it.o-price-stand
sa̲hohdęgyǫ́hǫgyeˀ	'he is on his way home'	[sa̲-ho-hdęgy-ǫ́h-ǫ-gy-e-ˀ]	repetitive-he.o-leave-stative-joinerA-progressive-go-stative
agade̲ˀgwę́hęgyeˀ	'I am running away again’	[ag-ade̲-ˀgw-ę́h-ę-gy-e-ˀ]	I.a-semireflexive-run.away-stative-joinerA-progressive-go-stative
go̲hsganye̲há:gyeˀ	'she is shuffling along’	[go̲-hsganye̲-h-á:-gy-e-ˀ]	she.o-shuffle-pronunciation.h-joinerA-progressive-go-stative
agyǫdi̲há:gyeˀ	'I am going along smiling'	[ag-yǫdi̲-h-ágy-e-ˀ]	I.a-smile-pronunciation.h-joinerA-progressive-go-stative
dęsehehdáwęnye:ˀ	‘you will tend or till your garden’	[d-ę-se-hehd-á-węnye-:ˀ]	dualic-future-you(one).a-joinerE-earth-joiner-stir-punctual
sedá:kseˀ	'you are running'	[s-e-dá:kse-ˀ]	you(one).a-joinerE-run-stative
í:se:k	'eat it!'	[í:-s-e:-k]	prothetic-you(one).a-joinerE-eat.punctual
segǫ́hsa̲ˀgeh	'on your face'	[s-e-gǫ́hs-a̲ˀgeh]	you(one).a-joinerE-face-on
ęsé:gęˀ	'you will see'	[ę-s-é:-gę-ˀ]	future-you(one).a-joinerE-see-punctual
ęhsewayę:nę́:daˀ	'you will complete'	[ę-hs-e-wayę:nę́:d-aˀ]	future-you(one).a-joinerE-complete-punctual
syę́:sehs	‘you skin animals all the time’	[s-yę́:se-hs]	you(one).a-skin-habitual
snętsáˀgeh	'on your arm'	[s-nęts-áˀgeh]	you(one).a-arm-on
sǫtsáˀgeh	'on your knee'	[s-ǫts-áˀgeh]	you(one).a-knee-on
SHehó:wih	‘tell her’	[she-hró:wi-h]	you:her-tell-pronunciation.h
SGa̲ˀáhdra:t	‘one basket’	[s-ga̲-ˀáhdr-a:-t]	repetitive-it.a-basket-joiner-stand.stative
SWa̲hdegá:ˀgeh	‘on your ribs’	[swa̲-hdegá:-ˀgeh]	you(all).a-ribs-on
onǫnyáędagyeˀ	'it is freezing'	[o-nǫny-á-ę-d-a-gy-e-ˀ]	it.o-ice-joinerA-lie.stative-pronunciation.D-joinerA-progressive-go-stative
onǫ́nyaęˀ	'it is frozen'	[o-nǫ́ny-a-ęˀ]	it.o-ice-joinerA-lie.stative
awęnowaędá:gyeˀ	'it is sinking'	[aw-ęnowaę-d-á:-gy-e-ˀ]	it.o-sink-pronunciation.D-joinerA-progressive-go-stative
ęwęnǫwáęˀ	'it will sink'	[ę-w-ęnǫwáę-ˀ]	future-it.a-sink-punctual
tgiˀdrǫ́:daˀk	'where I lived'	[t-g-iˀdrǫ́:-d-a-ˀk]	cislocative-I.a-live.stative-pronunciation.D-joinerA-past
tgiˀdrǫˀ	'where I live, reside' shęh ‘that’	[t-g-iˀdrǫ-ˀ]	cislocative-I.a-live-stative
agadowihshę́:daˀk	'I did have a rest'	[ag-ad-owihshę́:-d-a-ˀk]	I.o-semireflexive-rest.stative-pronunciation.D-joinerA-past
agadowíshęˀ	'I have rested'	[ag-ad-owíshę-ˀ]	I.o-semireflexive-rest-stative
gǫ́:yǫˀ	‘I will give you’	[gǫ́:-y-ǫ-ˀ]	I:you-pronunciation.Y-give-punctual
sheyahǫ́:dǫ:	‘ask her!’	[she-y-ahǫ́:dǫ:]	you:her-pronunciation.Y-ask-ø.aspect
degaǫwę́hda:s	‘they (females or mixed group) run’	[de-gaǫ-w-ę́hda:-s]	dualic-they-pronunciation.W-run-habitual
da:gáǫwę̲hda:t	‘they (females or mixed group) might run’	[d-a:-gáǫ-w-ę̲hda:t-ø]	dualic-indefinite-they-pronunciation.W-run-ø.punctual
dewagę̲hdá:dǫh	‘I have run’	[de-wag-ę̲hdá:d-ǫh]	dualic-I.o-run-stative
í:se:k	‘you eat it!’	[í:-s-e:-k]	prothetic-you(one).a-joinerE-eat.punctual
á:se:k	‘you should eat it’	[á:-s-e:-k]	indefinite-you(one).a-joinerE-eat.punctual
ę́:se:k	‘you will eat it’	[ę́:-s-e:-k]	future-you(one).a-joinerE-eat.punctual
ikne:	'you and I want, think’	[i-kn-e:]	pronunciation.I-we.two.inclusive.a-think.stative
akne:	'we two (not you) want, think’	[akn-e:]	we.two.exclusive.a-think.stative
idwe:	'we all (including you) want, think’	[i-dw-e:]	pronunciation.I-we.all.inclusive.a-think.stative
agwe:	'we all (not you) want, think’	[agw-e:]	we.all.exclusive.a-think.stative
ihe:	'he wants, thinks’	[i-h-e:]	pronunciation.I-he.a-think.stative
hę́:ne:	'they (males) want, think’	[hę́:n-e:]	they(males).a-think.stative
í:geˀs	'I am here'	[í:-g-e-ˀs]	pronunciation.I-I.a-go-habitual
ihsgeˀs	'I amback home'	[i-hs-g-e-ˀs]	pronunciation.I-repetitive-I.a-go-habitual
í:drah	'spread it on'	[í:-d-rah]	pronunciation.I-you(one).a-spread
í:ga:ˀ	'it contains'	[í:-ga:ˀ]	pronunciation.I-it.contain.stative
í:ga:t	'it is standing'	[í:-ga:-t]	pronunciation.I-it.a-stand.stative
í:gye:t	'she is standing over there'	[í:-g-ye:-t]	pronunciation.I-cislocative-she.a-stand.stative
ihe:	'he wants it'	[i-h-e:]	pronunciation.I-he.a-want.stative
ihse:	'you want'	[i-hs-e:]	pronunciation.I-you(one).a-want.stative
ikda:s	'I am stringing or draping it'	[i-k-dahsd]	pronunciation.I-I.a-string.up.habitual
ita:t	'he is standing over there'	[i-t-ha:-t]	pronunciation.I-cislocative-he.a-stand.stative
í:yoˀ	'it is in the water'	[í:-y-oˀ]	pronunciation.I-it.o-submerged.stative
í:yǫ:s	'it is long'	[í:-y-ǫ:s]	pronunciation.I-it.o-long.stative
ihsé:hah	'you (s) gloat'	[i-hs-é-:hah]	pronunciation.I-you(one).a-think.stative-diminutive
ihé:hah	'he thinks highly of himself'	[i-h-é-:hah]	pronunciation.I-he.a-think.stative-diminutive
igé:hah	'I am gloating, boastful'	[i-g-é-:hah]	pronunciation.I-I.a-think.stative-diminutive
tiwa:gǫ́:ni:	‘I have made it in place of something else, replaced it’	[ti-wa:g-ǫ́:ni-:]	contrastive-I.a-make-stative
Gwahsdǫhó:nǫˀ	'Americans'	[gwahsdǫ-hó:nǫˀ]	ø.prefix-boston
Gwahsdǫhonǫˀgeh	'United States'	[gwahsdǫ-honǫ-ˀgeh]	ø.prefix-boston-populative-on
Gwahsdǫhonǫˀge̲hó:nǫˀ	'United States citizen'	[gwahsdǫh-honǫh-ˀge̲-hó:nǫˀ]	ø.prefix-boston-populative-on-populative
oyajihó:nǫˀ	'stranger, alien'	[o-ya-ji-hó:nǫˀ]	it.o-other-intensifier-populative
oyá:jih	'another type'	[o-yá:-jih]	it.o-other-intensifier
gi̲hęˀgowáhneh	‘to the big river’	[gi̲hęˀ-gowá-hneh]	river-big-at
gi̲hę:gó:wah	‘the big river’	[gi̲hę:-gó:wah]	river-big
ahsgwáˀgeh	‘on the roof’	[ahsgwá-ˀgeh]	roof-on
oíhwa̲ˀgeh	‘the reason, idea for something’	[o-ríhwa̲-ˀgeh]	it.o-matter-on
oíhwaˀ	‘message,word, affair, business’	[o-ríhw-aˀ]	it.o-matter-nsf
adę́ˀhęˀgeh	‘on the fence’	[adę́ˀhę-ˀgeh]	fence-on
adę́ˀhęˀ	‘fence’	[adę́ˀh-ęˀ]	fence-nsf
snętsáˀgeh	‘on your (sg.) arm’	[s-nętsá-ˀgeh]	you(one).a-arm-on
knętsáˀgeh	‘on my arm’	[k-nętsá-ˀgeh]	I.a-arm-on
enę́tsa̲ˀgeh	‘on her arm’	[e-nę́tsa̲-ˀgeh]	she.a-arm-on
otówe̲ˀgeh	‘North’	[o-tówe̲-ˀgeh]	it.o-cold.stative-on
otó:weˀ	‘it is cold’	[o-tó:weˀ]	it.o-cold.stative
onénǫ̲ˀgeh	‘South’	[o-nénǫ̲-ˀgeh]	it.o-warm.stative-on
oné:nǫˀ	‘it is mild, warm’	[o-né:nǫˀ]	it.o-warm.stative
eˀnikǫhkwáˀgeh	‘sewing room’	[e-ˀnikǫhkwá-ˀgeh]	someone-sews.habitual-on
eˀníkǫhkwaˀ	‘she sews’	[e-ˀníkhǫkw-haˀ]	she.a-sew-habitual
ekǫnya̲ˀtáˀgeh	‘kitchen’	[e-kǫnya̲ˀtá-ˀgeh]	someone-cooks.habitual-on
ekǫ́nya̲ˀtaˀ	‘she cooks’	[e-kǫ́nya̲ˀd-haˀ]	she.a-cook-habitual
Ga̲hnawiyóˀgeh	‘Oklahoma’	[ga̲-hnaw-iyó-ˀgeh]	it.a-flowing.water-good.stative-on
ga̲hna:wí:yo:	‘nice rapids’	[ga̲-hna:w-í:yo:]	it.a-flowing.water-good.stative
í:ˀgeh	‘on my side’; ‘as for me’	[i:-ˀgeh]	I-on
gi̲hęˀgowáhneh	‘to the big river’	[gi̲hęˀ-gowá-hneh]	river-big-at
gi̲hę:gó:wah	‘the big river’	[gi̲hę:-gó:wah]	river-big
hęnǫ́gwe̲hneh	‘men's washroom’	[hęn-ǫ́gwe̲-hneh]	they(males).a-people-at
hęnǫ́:gweh	‘men’	[hęn-ǫ́:gweh]	they(males).a-people
gęnhéhneh	‘summer’	[g-ęnhé-hneh]	it.a-summer-at
Gwésa̲hsneh	‘Akwesasne’	[gwésa̲hs-hneh]	partridge-at
go̲hsréhneh	‘winter’	[go̲hsré-hneh]	cold.place-at
Hyáikneh	‘June’	[hyá-ik-hneh]	berry-ripen-at
Jíhsgę̲hneh	‘August’	[jíhsgę̲-hneh]	corn.husk-at
Sáˀgę̲hneh	‘September’	[sáˀgę̲-hneh]	cough-at
Saˀgę̲hnehgó:wah	‘October’	[saˀgę̲-hneh-gó:wah]	cough-at-big
Ohwęjagáyǫ̲hneh	‘Europe’	[o-hwęja-gáyǫ̲-hneh]	it.o-land-old.stative-at
Mariaˀgeh	'at Maria's place' name '	[maria-hneh]	maria-at
hyáikneh	'June' (former) atypical word functioning as a ‘noun’	[hya-ik-hneh]	berry-ripen-at
Sawęhe:sgeh	'at Sawęhe:s's place' verb functioning as a ‘name’	[sawęhe:s-ˀgeh]	sawęhe:s-at
hyáikhne̲hgeh	'berry ripening time' (former) atypical word functioning as a ‘noun’	[hya-ik-hne̲h-ˀgeh]	berry-ripen-at-on
nigę́hne:s	'just a length of cloth' tsǫ́: ‘just’	[ni-g-ę́hn-e:s]	partitive-it.a-cloth-long
í:yǫ:s	'it is long'	[í:-y-ǫ:s]	partitive-it.o-long.stative
ohsnó:weˀ	'it is fast, quick'	[o-hsnó:weˀ]	it.o-fast.stative
haksaˀdasé:ˀah	'teenager'	[ha-ksaˀd-asé:-ˀah]	he.a-child-new-diminutive
haksá:ˀah	'a male child, boy'	[ha-ksá:-ˀah]	he.a-child-diminutive
hehjíˀah	'my older brother'	[he-hjí-ˀah]	he:me-older.sibling-diminutive
hehjiˀ	'pet name for 'my older brother’	[he-hjiˀ]	he:me-older.sibling
kehjíˀah	'my older sister'	[keh-jí-ˀah]	she:me-older.sibling-diminutive
kehjiˀ	'pet name for 'my older sister’	[ke-hjiˀ]	she:me-older.sibling
owi:yá:ˀah	'baby'	[o-wi:yá:-ˀah]	it.o-offspring-diminutive
owí:yaˀ	'its young, offspring’ neˀ ‘the’	[o-wí:y-aˀ]	it.o-offspring-nsf
ohstwa:sˀah	‘young animal, little animal, tadpole’	[o-hstwa:-s-ˀah]	it.o-shrink-pluralizer-diminutive
wahstwahs	‘it shrinks’	[wa-hstwa-hs]	it.a-shrink-habitual
niyǫ́:sˀah	‘just a little bit long’	[ni-y-ǫ:s-ˀah]	partitive-it.a-long.stative-diminutive
í:yǫ:s	‘it is long’	[i:-y-ǫ:s]	prothetic-it.a-long.stative
nigęhné:sˀah	‘a short length of cloth’	[ni-g-ęhn-é:s-ˀah]	partitive-it.a-skin-long.stative-diminutive
nigę́hne:s	‘a length of cloth, material’	[ni-g-ęhn-e:s]	partitive-it.a-skin-long.stative
oˀgá:sˀah	'evening'	[o-ˀgá:s-ˀah]	it.o-evening.stative-diminutive
deyóˀga:s	'the night is coming’; ‘early night'	[de-yó-ˀga:s]	dualic-it.o-evening.stative
ihé:ˀah	'he is just walking along'	[i-h-é:-ˀah]	prothetic-he.a-go.stative-diminutive
iheˀ	'he is walking, moving'	[i-h-e-ˀ]	prothetic-he.a-go.stative
a:wé:tˀah	'it is implied, pretend'	[a:-w-é:t-ˀah]	indefinite-it.a-cause.to.think-diminutive
á:we:ˀ	'it should want, think'	[á:-w-e:-ˀ]	indefinite-it.a-think-punctual
tiyó:tˀah	'it is queer, unusual, odd'	[ti-yó:-t-ˀah]	contrastive-it.o-stand.stative-diminutive
tiganǫ̲hsa:dé:ˀah	'not a normal house'	[ti-ga-nǫ̲hs-a:dé:-ˀah]	contrastive-it.a-house-exist.stative-diminutive
tęhayętó:ˀah	'he will just plant it any old way or place, helter-skelter'	[t-ę-ha-yętó:-ˀah]	contrastive-future-he.a-plant.punctual-diminutive
hahe:tgę́:sˀah	'he is unattractive'	[ha-he:tgę́:-s-ˀah]	he.a-ugly.stative-plural-diminutive
hahé:tgęˀ	'he is ugly'	[ha-hé:tgęˀ]	he.a-ugly.stative
onǫhsatgí:sˀah	'ugly house'	[o-nǫhs-a-tgí:-s-ˀah]	it.o-house-joinerA-ugly.stative-plural-diminutive
onǫ́hsatgiˀ	'dirty house'	[o-nǫ́hs-a-tgiˀ]	it.o-house-joinerA-ugly.stative
ga̲hwajiyowanę́:hah	'my family is fairly big'	[ga-hwajiy-owanę́:-hah]	it.a-family-big.stative-diminutive
ga̲hwajiyówanęh	'big family'	[ga-hwajiy-ówanęh]	it.a-family-big.stative
niyǫ́:hah	'few, a little bit'	[ni-y-ǫ́:-hah]	partitive-it.o-a.certain.amount.stative-diminutive
ní:yǫ:	'amount of things'	[ní:-y-ǫ:]	partitive-it.o-a.certain.amount.stative
sgęnǫgowá:hah	'slowly, fairly slow'	[s-g-ęnǫ-gowá:-hah]	repetitive-it.a.originate.from-big-diminutive
gowa:nę́:hah	'it is fairly big'	[g-owa:nę́:-hah]	it.big.stative-diminutive
ihé:hah	'he thinks highly of himself'	[i-h-é:-hah]	prothetic-he.a-think.stative-diminutive
shede̲hjí:hah	'early morning' atypical word functioning as a ‘noun’	[shede̲h-jí:-hah]	early.morning-intensifier-diminutive
tsishéhde̲hjih	'this morning'	[tsi-shéde̲h-jih]	coincident-early.morning-intensifier
gagwíde̲hneh	'springtime, in the spring'	[ga-gwíde̲-hneh]	it.a-early.spring-at
ęyóˀga:ˀ	'tonight'	[ę-yó-ˀga:-ˀ]	future-it.o-evening-punctual
oˀga:sˀahné:hah	'eveningish'	[o-ˀga:s-ˀah-hné:-hah]	it.o-evening.stative-diminutive-at-diminutive
oˀgá:sˀah	'evening'	[o-ˀgá:s-ˀah]	it.o-evening.stative-diminutive
hagę́hjih	'old man'	[ha-gę́hjih]	he.a-old.stative
niyagawé:nǫh	'female stranger'	[ni-yagaw-é:nǫ-h]	partitive-cislocative-she.o-originate.from-habitual
dagu:sgó:wah	'big cat'	[dagu:s-gó:wah]	cat-big
onǫhdagó:wah	'burdock'	[o-nǫhd-a-gó:wah]	it.o-bur-joinerA-big
onǫ́hdaˀ	'bur'	[o-nǫ́hd-aˀ]	it.o-bur-nsf
otręˀdagó:wah	'horsefly'	[o-tręˀd-a-gó:wah]	it.o-fly-joinerA-big
otrę́ˀdaˀ	'fly'	[o-trę́ˀd-aˀ]	it.o-fly-nsf
gwa̲ˀyǫgó:wah	'jackrabbit'	[gwa̲ˀyǫ-gó:wah]	rabbit-big
Gayane̲hsraˀgó:wah	'the Great Law'	[ga-yane̲hsr-aˀ-gó:wah]	it.a-law-joinerA-big
gayáne̲hsraˀ	'rights, laws, code'	[ga-yane̲hsr-aˀ]	it.a-law-nsf
ohstowagó:wah	'Great Feather Dance'	[o-hstow-a-gó:wah]	it.o-feather-joinerA-big
awęheˀgó:wah	'eagle'	[awęheˀ-gó:wah]	ø.prefix-wing-big
ga̲hnyaˀsesgó:wah	'giraffe'	[ga̲-hnyaˀs-es-gó:wah]	it.a-neck-long.stative-big
ga̲hnyáˀse:s	'it has a long neck'	[ga̲-hnyáˀs-e:s]	it.a-neck-long.stative
okdéhatgiˀ	'dirty or ugly root'	[o-kdéh-a-tgiˀ]	it.o-root-joinerA-ugly.stative
gayęˀgwasgó:wah	'tobacco worm'	[ga-yęˀgw-a-k-s-gó:wah]	it.a-tobacco-joinerA-eat-habitual-big
gayę́ˀgwa:s	'it eats tobacco'	[ga-yęˀgw-a-k-s]	it.a-tobacco-joinerA-eat-habitual
gawęno̲hgriya̲ˀsgó:wah	'weed or brush cutter'	[ga-węno̲hgr-iya̲ˀk-s-gó:wah]	it.a-weed-cut-habitual-big
gawęno̲hgrí:yaˀs	'it cuts weeds'	[ga-węno̲hgr-í:yaˀk-s]	it.a-weed-cut-habitual
agawęgę́hę:ˀ	'it used to be mine'	[ni:ˀ] ‘I’ [ag-aw-ę-gę́hę:ˀ]	I.o-own-stative-past
agá:węh	'mine'	[ag-á:w-ęh]	I.o-own-stative
hó:węh	'his'	[hó:-w-ęh]	he.o-own-stative
eksaˀdasé:gę̲hę:ˀ	‘a former teenage girl'	[e-ksaˀd-asé:-gę̲hę:ˀ]	she.a-child-new.stative-past
eksaˀdasé:ˀah	'teenage girl'	[e-ksaˀd-asé:-ˀah]	she.a-child-new.stative-diminutive
akyęda̲hkwáˀgę̲hę:ˀ	'a former chair'	[akyęda̲hkw-áˀ-gę̲hę:ˀ]	ø.prefix-chair-joinerA-past
akyę́da̲hkwaˀ	'chair'	[akyę́da̲hkw-aˀ]	ø.prefix-chair-nsf
gokyęda̲hkwáˀgę̲hę:ˀ	'it used to be her chair'	[go-kyęda̲hkw-áˀ-gę̲hę:ˀ]	her-chair-joinerA-past
knoha:ˀahgęhę:ˀ	'my former aunt'	[k-noha:ˀah-gęhę:ˀ]	I.a-aunt-past
kno:há:ˀah	'my aunt'	[k-no:há:ˀah]	I.a-aunt
hehjiˀahgę́hę:ˀ	'my former older brother'	[he-hjiˀah-gę́hę:ˀ]	he:me-older.sibling-past
hehjíˀah	'my older brother'	[he-hjíˀah]	he:me-older.sibling
haˀnígę̲hę:ˀ	'my former father'	[ha-ˀní-gę̲hę:ˀ]	he.a-father-past
haˀnih	'my father'	[ha-ˀnih]	he.a-father
knoháˀgę̲hę:ˀ	'my former mother'	[k-noháˀ-gę̲hę:ˀ]	I.a-mother-past
knó:haˀ	'my mother'	[k-nó:haˀ]	I.a-aunt
ǫgya:dáogę̲hę:ˀ	'my former ceremonial friend'	[ǫgy-a:d-áo-gę̲hę:ˀ]	we.all-semireflexive-ceremonial.friend-past
ǫgya:dáoˀ	'my ceremonial friend'	[ǫgy-a:d-áoˀ]	we.all-semireflexive-ceremonial.friend
ǫgyatsihgę́hę:ˀ	'my former friend'	[ǫgy-atsih-gę́hę:ˀ]	we.all-friend-past
ǫgyá:tsih	'my friend'	[ǫgy-á:tsih]	we.all-friend
ǫgwehǫwéhne̲ha:ˀ	'Indian way'	[ǫgweh-ǫwéh-ne̲ha:ˀ]	people-typicalizer-customary
ǫgwehǫ́:weh	'Indian'	[ǫgweh-ǫ́:weh]	people-typicalizer
hnyǫˀǫhnéha:ˀ	'white kind'	[hnyǫˀǫh-néha:ˀ]	white.stative-customary
shede̲hjihahnéha:ˀ	'brunch time, mid-morning, early morning'	[shede̲h-ji-hah-néha:ˀ]	early.morning-intensifier-diminutive-customary
shede̲hjí:hah	'early morning'	[shede̲h-jí:-hah]	early.morning-intensifier-diminutive
ǫgwehǫ́:weh	'Indian'	[ǫgweh-ǫ́:weh]	ø.prefix-people-typicalizer
otowe̲ˀgéha:ˀ	'the northern kind'	[o-t-howe̲ˀ-géha:ˀ]	it.o-semireflexive-cold.stative-customary
otówe̲ˀgeh	'north'	[o-t-howe̲-ˀgeh]	it.o-semireflexive-cold.stative-on
twę:twę́:tge̲ha:ˀ	'duck dance'	[twę:twę́:t-ge̲ha:ˀ]	duck-customary
hnyagwaiˀgéha:ˀ	'Bear Dance'	[hnyagwaiˀ-géha:ˀ]	bear-customary
ahsdéhka:ˀ	'outside type'	[ahsdéh-ka:ˀ]	ø.prefix-outside-customary
ahsdeh	'outside'	[ahsdeh]	ø.prefix-outside
go̲hsréhka:ˀ	'winter kind'	[go̲hsréh-ka:ˀ]	ø.prefix-cold.place-customary
go̲hsréhneh	'winter'	[go̲hsré-hneh]	ø.prefix-cold.place-at
ędéhka:ˀ	'day kind'	[ęd-éh-ka:ˀ]	ø.prefix-day-go.aspect-customary
ę́:deh	'day'	[ę́:d-eh]	ø.prefix-day-go.aspect
ahsǫ́hehka:ˀ	'night kind'	[ahsǫ́h-eh-ka:ˀ]	ø.prefix-night-go.aspect-customary
ahsǫ́heh	'night'	[ahsǫ́h-eh]	ø.prefix-night-go.aspect
ga̲hnyǫ́ˀǫhka:ˀ	'white man's kind'	[ga̲-hnyǫ́ˀǫh-ka:ˀ]	it.a-white.stative-customary
hahnyǫ́ˀǫh	'white man'	[ha-hnyǫ́ˀǫh]	he.a-white.stative
